source_index,source_file,global_request_id,依頼No.,項目名,項目No.,測光ﾎﾟｰﾄ,処理値,時間,吸光度
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,54.0,11622.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,63.2,11639.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,72.0,11655.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,81.2,11668.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,90.0,11685.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,99.2,11695.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,108.0,11710.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,117.2,11725.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,126.0,11742.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,135.2,11759.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,144.0,11777.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,153.2,11793.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,162.0,11806.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,171.2,11821.0
1,240517_calCSV_data.csv,1_C004,C004,TAT206,41,18,10.2,180.0,11833.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,0.0,11687.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,9.2,11703.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,18.0,11714.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,27.2,11724.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,36.0,11734.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,45.2,11748.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,54.0,11761.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,63.2,11776.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,72.0,11789.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,81.2,11805.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,90.0,11818.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,99.2,11833.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,108.0,11849.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,117.2,11864.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,126.0,11881.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,135.2,11898.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,144.0,11909.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,153.2,11924.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,162.0,11938.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,171.2,11954.0
1,240517_calCSV_data.csv,1_C005,C005,TAT206,41,19,9.9,180.0,11972.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,0.0,11725.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,9.2,11737.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,18.0,11754.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,27.2,11757.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,36.0,11767.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,45.2,11777.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,54.0,11799.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,63.2,11811.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,72.0,11822.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,81.2,11834.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,90.0,11840.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,99.2,11863.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,108.0,11875.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,117.2,11892.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,126.0,11907.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,135.2,11916.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,144.0,11937.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,153.2,11949.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,162.0,11966.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,171.2,11986.0
1,240517_calCSV_data.csv,1_C006,C006,TAT206,41,20,10.1,180.0,12002.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,0.0,11582.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,9.2,11596.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,18.0,11607.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,27.2,11627.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,36.0,11635.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,45.2,11656.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,54.0,11668.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,63.2,11693.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,72.0,11711.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,81.2,11733.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,90.0,11758.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,99.2,11784.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,108.0,11802.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,117.2,11829.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,126.0,11851.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,135.2,11879.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,144.0,11898.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,153.2,11925.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,162.0,11946.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,171.2,11980.0
1,240517_calCSV_data.csv,1_C007,C007,TAT206,41,15,16.5,180.0,11997.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,0.0,11565.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,9.2,11580.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,18.0,11579.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,27.2,11596.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,36.0,11612.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,45.2,11625.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,54.0,11639.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,63.2,11667.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,72.0,11685.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,81.2,11705.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,90.0,11720.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,99.2,11749.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,108.0,11771.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,117.2,11797.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,126.0,11814.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,135.2,11842.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,144.0,11858.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,153.2,11884.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,162.0,11914.0
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,171.2,11938.0
